13:13:12.746 - accX: 67, accY: 11, accZ: -6
13:13:12.784 - accX: 63, accY: 11, accZ: 1
13:13:12.808 - accX: 63, accY: 12, accZ: 1
13:13:12.823 - accX: 64, accY: 13, accZ: 0
13:13:12.835 - accX: 64, accY: 14, accZ: 1
13:13:12.858 - accX: 65, accY: 15, accZ: 2
13:13:12.875 - accX: 64, accY: 16, accZ: 3
13:13:12.888 - accX: 64, accY: 16, accZ: 5
13:13:12.899 - accX: 62, accY: 16, accZ: 5
13:13:12.921 - accX: 61, accY: 17, accZ: 4
13:13:12.935 - accX: 59, accY: 15, accZ: 6
13:13:12.948 - accX: 60, accY: 15, accZ: 6
13:13:12.973 - accX: 59, accY: 15, accZ: 5
13:13:12.988 - accX: 61, accY: 13, accZ: 4
13:13:13.000 - accX: 62, accY: 13, accZ: 2
13:13:13.013 - accX: 63, accY: 14, accZ: 2
13:13:13.037 - accX: 63, accY: 14, accZ: 2
13:13:13.053 - accX: 63, accY: 12, accZ: 3
13:13:13.065 - accX: 64, accY: 12, accZ: 3
13:13:13.087 - accX: 64, accY: 13, accZ: 4
13:13:13.102 - accX: 66, accY: 13, accZ: 3
13:13:13.113 - accX: 66, accY: 15, accZ: 4
13:13:13.125 - accX: 66, accY: 14, accZ: 2
13:13:13.152 - accX: 66, accY: 15, accZ: 3
13:13:13.167 - accX: 66, accY: 16, accZ: 3
13:13:13.177 - accX: 65, accY: 16, accZ: 3
13:13:13.203 - accX: 64, accY: 15, accZ: 4
13:13:13.252 - accX: 62, accY: 14, accZ: 4
13:13:13.288 - accX: 61, accY: 13, accZ: 5
13:13:13.325 - accX: 61, accY: 14, accZ: 7
13:13:13.340 - accX: 62, accY: 14, accZ: 6
13:13:13.356 - accX: 63, accY: 14, accZ: 6
13:13:13.371 - accX: 63, accY: 14, accZ: 7
13:13:13.396 - accX: 63, accY: 13, accZ: 8
13:13:13.411 - accX: 64, accY: 13, accZ: 9
13:13:13.422 - accX: 62, accY: 13, accZ: 8
13:13:13.434 - accX: 63, accY: 13, accZ: 8
13:13:13.469 - accX: 63, accY: 13, accZ: 9
13:13:13.492 - accX: 63, accY: 14, accZ: 7
13:13:13.504 - accX: 64, accY: 14, accZ: 9
13:13:13.516 - accX: 64, accY: 14, accZ: 9
13:13:13.535 - accX: 65, accY: 15, accZ: 10
13:13:13.550 - accX: 64, accY: 15, accZ: 7
13:13:13.580 - accX: 65, accY: 15, accZ: 7
13:13:13.592 - accX: 63, accY: 15, accZ: 7
13:13:13.606 - accX: 64, accY: 15, accZ: 7
13:13:13.617 - accX: 64, accY: 15, accZ: 7
13:13:13.637 - accX: 63, accY: 14, accZ: 7
13:13:13.667 - accX: 63, accY: 15, accZ: 8
13:13:13.698 - accX: 62, accY: 13, accZ: 7
13:13:13.739 - accX: 60, accY: 13, accZ: 8
13:13:13.751 - accX: 61, accY: 13, accZ: 8
13:13:13.763 - accX: 61, accY: 13, accZ: 10
13:13:13.785 - accX: 64, accY: 13, accZ: 9
13:13:13.801 - accX: 64, accY: 14, accZ: 9
13:13:13.812 - accX: 65, accY: 14, accZ: 10
13:13:13.834 - accX: 63, accY: 14, accZ: 11
13:13:13.856 - accX: 63, accY: 14, accZ: 9
13:13:13.890 - accX: 63, accY: 15, accZ: 10
13:13:13.922 - accX: 61, accY: 14, accZ: 10
13:13:13.945 - accX: 62, accY: 14, accZ: 11
13:13:13.961 - accX: 62, accY: 14, accZ: 10
13:13:13.973 - accX: 63, accY: 13, accZ: 9
13:13:13.987 - accX: 63, accY: 14, accZ: 10
13:13:14.013 - accX: 64, accY: 15, accZ: 10
13:13:14.031 - accX: 64, accY: 14, accZ: 9
13:13:14.053 - accX: 64, accY: 13, accZ: 7
13:13:14.089 - accX: 63, accY: 12, accZ: 5
13:13:14.111 - accX: 63, accY: 12, accZ: 4
13:13:14.122 - accX: 63, accY: 11, accZ: 2
13:13:14.135 - accX: 62, accY: 11, accZ: 2
13:13:14.160 - accX: 65, accY: 12, accZ: 2
13:13:14.206 - accX: 64, accY: 11, accZ: 1
13:13:14.231 - accX: 64, accY: 11, accZ: -1
13:13:14.243 - accX: 64, accY: 10, accZ: -2
13:13:14.254 - accX: 66, accY: 10, accZ: -2
13:13:14.266 - accX: 66, accY: 10, accZ: -1
