14:23:39.306 - accX: 73, accY: 40, accZ: 18
14:23:39.321 - accX: 21, accY: 21, accZ: 3
14:23:39.344 - accX: -54, accY: -86, accZ: 96
14:23:39.359 - accX: -101, accY: 7, accZ: 65
14:23:39.384 - accX: -27, accY: 7, accZ: 0
14:23:39.398 - accX: -29, accY: 2, accZ: -11
14:23:39.410 - accX: -114, accY: 21, accZ: 42
14:23:39.425 - accX: -18, accY: -1, accZ: 17
14:23:39.449 - accX: -90, accY: -27, accZ: 87
14:23:39.465 - accX: 35, accY: 75, accZ: 98
14:23:39.480 - accX: 63, accY: 22, accZ: 63
14:23:39.491 - accX: -2, accY: 3, accZ: -8
14:23:39.507 - accX: -2, accY: 4, accZ: -7
14:23:39.522 - accX: -2, accY: 3, accZ: -7
14:23:39.542 - accX: -89, accY: -102, accZ: 127
14:23:39.561 - accX: 0, accY: 3, accZ: 30
14:23:39.576 - accX: 30, accY: 16, accZ: 41
14:23:39.589 - accX: 44, accY: 29, accZ: 65
14:23:39.613 - accX: 45, accY: 18, accZ: 66
14:23:39.628 - accX: 115, accY: -22, accZ: 17
14:23:39.642 - accX: 75, accY: -30, accZ: -29
14:23:39.656 - accX: 118, accY: -27, accZ: -28
14:23:39.669 - accX: 69, accY: -31, accZ: 25
14:23:39.684 - accX: 32, accY: -16, accZ: 39
14:23:39.706 - accX: 23, accY: 1, accZ: 20
14:23:39.719 - accX: -4, accY: 38, accZ: 39
14:23:39.743 - accX: -104, accY: 78, accZ: 64
14:23:39.758 - accX: -36, accY: 20, accZ: -3
14:23:39.773 - accX: -39, accY: 23, accZ: -10
14:23:39.796 - accX: -101, accY: 66, accZ: -1
14:23:39.811 - accX: -16, accY: -4, accZ: -1
14:23:39.825 - accX: 1, accY: 2, accZ: -5
14:23:39.839 - accX: 0, accY: 3, accZ: -4
14:23:39.859 - accX: -61, accY: 124, accZ: 126
14:23:39.874 - accX: 17, accY: -103, accZ: 68
14:23:39.889 - accX: -20, accY: -67, accZ: -39
14:23:39.903 - accX: 15, accY: -22, accZ: -10
14:23:39.918 - accX: -6, accY: 6, accZ: -13
14:23:39.935 - accX: -14, accY: 22, accZ: 13
14:23:39.950 - accX: -100, accY: 52, accZ: -27
14:23:39.965 - accX: -128, accY: 14, accZ: -127
14:23:39.990 - accX: -9, accY: 5, accZ: -28
14:23:40.004 - accX: -6, accY: 1, accZ: -17
14:23:40.017 - accX: -6, accY: 0, accZ: -19
14:23:40.039 - accX: -116, accY: 52, accZ: -61
14:23:40.053 - accX: -42, accY: 7, accZ: -41
14:23:40.071 - accX: -128, accY: 127, accZ: -14
14:23:40.085 - accX: -62, accY: 69, accZ: 41
14:23:40.101 - accX: -128, accY: -112, accZ: 44
14:23:40.116 - accX: 84, accY: -55, accZ: 4
14:23:40.133 - accX: -13, accY: -12, accZ: -47
14:23:40.149 - accX: -21, accY: -13, accZ: -7
14:23:40.166 - accX: -5, accY: 0, accZ: -4
14:23:40.182 - accX: -9, accY: 9, accZ: -5
14:23:40.195 - accX: -125, accY: 107, accZ: 58
14:23:40.210 - accX: -41, accY: 33, accZ: 12
14:23:40.222 - accX: -8, accY: 4, accZ: -8
14:23:40.238 - accX: -51, accY: 5, accZ: -10
14:23:40.251 - accX: -48, accY: -4, accZ: -6
14:23:40.266 - accX: -128, accY: -120, accZ: 51
14:23:40.291 - accX: -20, accY: -128, accZ: -51
14:23:40.307 - accX: 56, accY: -73, accZ: -88
14:23:40.322 - accX: 11, accY: -21, accZ: -30
14:23:40.335 - accX: 15, accY: -2, accZ: -7
14:23:40.349 - accX: 16, accY: 3, accZ: 5
14:23:40.365 - accX: 6, accY: 6, accZ: -3
14:23:40.392 - accX: -74, accY: 17, accZ: 6
14:23:40.407 - accX: -128, accY: 105, accZ: -34
14:23:40.421 - accX: -10, accY: 6, accZ: -8
14:23:40.436 - accX: -29, accY: -4, accZ: -3
14:23:40.449 - accX: -90, accY: -16, accZ: 1
14:23:40.471 - accX: -16, accY: 2, accZ: -6
14:23:40.486 - accX: -100, accY: -128, accZ: 125
14:23:40.501 - accX: -2, accY: -24, accZ: 9
14:23:40.533 - accX: 25, accY: -34, accZ: -41
14:23:40.574 - accX: 17, accY: 8, accZ: -77
14:23:40.612 - accX: -78, accY: -26, accZ: -63
14:23:40.643 - accX: -81, accY: -81, accZ: -38
14:23:40.659 - accX: -28, accY: -75, accZ: 52
14:23:40.675 - accX: 8, accY: -24, accZ: 39
14:23:40.691 - accX: 5, accY: 4, accZ: 0
14:23:40.710 - accX: 3, accY: -3, accZ: -2
14:23:40.725 - accX: -94, accY: -114, accZ: -128
14:23:40.744 - accX: -39, accY: -6, accZ: -107
14:23:40.757 - accX: -30, accY: -3, accZ: -112
14:23:40.783 - accX: -13, accY: -11, accZ: -62
14:23:40.799 - accX: 15, accY: -7, accZ: -37
14:23:40.814 - accX: 2, accY: 5, accZ: -9
14:23:40.839 - accX: -46, accY: -127, accZ: -60
14:23:40.854 - accX: -18, accY: -95, accZ: 101
14:23:40.868 - accX: -1, accY: -2, accZ: 1
14:23:40.885 - accX: 0, accY: -4, accZ: 5
14:23:40.899 - accX: 9, accY: -9, accZ: 28
14:23:40.924 - accX: 9, accY: 0, accZ: -6
14:23:40.938 - accX: 78, accY: -94, accZ: -128
