12:22:20.092 - accX: -50, accY: 2, accZ: 17
12:22:20.115 - accX: -55, accY: 5, accZ: 19
12:22:20.130 - accX: -57, accY: 3, accZ: 16
12:22:20.143 - accX: -57, accY: 4, accZ: 16
12:22:20.164 - accX: -56, accY: 4, accZ: 17
12:22:20.180 - accX: -56, accY: 4, accZ: 19
12:22:20.192 - accX: -54, accY: 3, accZ: 18
12:22:20.204 - accX: -56, accY: 4, accZ: 17
12:22:20.229 - accX: -57, accY: 3, accZ: 17
12:22:20.244 - accX: -58, accY: 3, accZ: 20
12:22:20.257 - accX: -59, accY: 5, accZ: 26
12:22:20.291 - accX: -61, accY: 5, accZ: 24
12:22:20.325 - accX: -58, accY: 6, accZ: 25
12:22:20.339 - accX: -59, accY: 7, accZ: 26
12:22:20.355 - accX: -59, accY: 7, accZ: 27
12:22:20.376 - accX: -59, accY: 8, accZ: 28
12:22:20.416 - accX: -58, accY: 9, accZ: 28
12:22:20.453 - accX: -56, accY: 15, accZ: 44
12:22:20.492 - accX: -66, accY: 23, accZ: 49
12:22:20.530 - accX: -51, accY: 28, accZ: 47
12:22:20.568 - accX: -19, accY: 10, accZ: 49
12:22:20.618 - accX: -13, accY: 16, accZ: 52
12:22:20.654 - accX: -10, accY: 19, accZ: 43
12:22:20.685 - accX: -13, accY: 19, accZ: 52
12:22:20.699 - accX: -14, accY: 19, accZ: 53
12:22:20.713 - accX: -13, accY: 20, accZ: 61
12:22:20.727 - accX: -11, accY: 19, accZ: 59
12:22:20.751 - accX: -10, accY: 14, accZ: 46
12:22:20.768 - accX: -15, accY: 15, accZ: 58
12:22:20.780 - accX: -12, accY: 12, accZ: 62
12:22:20.795 - accX: -10, accY: 13, accZ: 57
12:22:20.810 - accX: 4, accY: 15, accZ: 66
12:22:20.826 - accX: 9, accY: 14, accZ: 58
12:22:20.840 - accX: 5, accY: 14, accZ: 63
12:22:20.856 - accX: 2, accY: 12, accZ: 60
12:22:20.879 - accX: 0, accY: 16, accZ: 59
12:22:20.895 - accX: 0, accY: 13, accZ: 53
12:22:20.908 - accX: -1, accY: 6, accZ: 42
12:22:20.928 - accX: -12, accY: 6, accZ: 64
12:22:20.966 - accX: 21, accY: 6, accZ: 28
12:22:21.010 - accX: 10, accY: 32, accZ: 5
12:22:21.046 - accX: -15, accY: 59, accZ: -49
12:22:21.061 - accX: -54, accY: 127, accZ: -113
12:22:21.076 - accX: -14, accY: 18, accZ: -77
12:22:21.092 - accX: -40, accY: 51, accZ: -106
12:22:21.107 - accX: -7, accY: -19, accZ: -55
12:22:21.123 - accX: -40, accY: -47, accZ: -37
12:22:21.138 - accX: -8, accY: -31, accZ: -29
12:22:21.153 - accX: -19, accY: -28, accZ: -52
12:22:21.180 - accX: -26, accY: -8, accZ: -51
12:22:21.221 - accX: -50, accY: 23, accZ: -69
12:22:21.237 - accX: -37, accY: 25, accZ: -55
12:22:21.251 - accX: -39, accY: 29, accZ: -48
12:22:21.265 - accX: -41, accY: 28, accZ: -43
12:22:21.279 - accX: -41, accY: 24, accZ: -45
12:22:21.306 - accX: -42, accY: 22, accZ: -51
12:22:21.323 - accX: -40, accY: 21, accZ: -54
12:22:21.338 - accX: -37, accY: 24, accZ: -55
12:22:21.360 - accX: -37, accY: 27, accZ: -49
12:22:21.376 - accX: -40, accY: 26, accZ: -44
12:22:21.392 - accX: -42, accY: 26, accZ: -41
12:22:21.413 - accX: -43, accY: 25, accZ: -46
12:22:21.453 - accX: -50, accY: 30, accZ: -49
12:22:21.493 - accX: -52, accY: 24, accZ: -27
12:22:21.532 - accX: -93, accY: 47, accZ: -17
12:22:21.572 - accX: -112, accY: -28, accZ: 46
12:22:21.621 - accX: -25, accY: 29, accZ: -21
12:22:21.672 - accX: -27, accY: 7, accZ: -54
12:22:21.707 - accX: -28, accY: 21, accZ: -54
