13:00:07.182 - accX: 53, accY: -40, accZ: -21
13:00:07.215 - accX: 23, accY: -25, accZ: -38
13:00:07.248 - accX: 10, accY: -19, accZ: -37
13:00:07.280 - accX: 24, accY: -11, accZ: -63
13:00:07.314 - accX: 40, accY: -70, accZ: -60
13:00:07.352 - accX: 32, accY: 9, accZ: 4
13:00:07.372 - accX: 85, accY: 57, accZ: 12
13:00:07.385 - accX: 36, accY: 12, accZ: -30
13:00:07.408 - accX: 50, accY: 19, accZ: -47
13:00:07.423 - accX: 43, accY: -14, accZ: -118
13:00:07.438 - accX: 55, accY: -16, accZ: -81
13:00:07.452 - accX: 38, accY: -11, accZ: -32
13:00:07.477 - accX: 54, accY: -6, accZ: -37
13:00:07.515 - accX: 19, accY: 11, accZ: 31
13:00:07.548 - accX: 52, accY: 34, accZ: 25
13:00:07.573 - accX: 89, accY: 13, accZ: -22
13:00:07.587 - accX: 94, accY: -53, accZ: -46
13:00:07.600 - accX: 41, accY: -34, accZ: -10
13:00:07.613 - accX: 47, accY: -44, accZ: -5
13:00:07.640 - accX: 40, accY: -48, accZ: -5
13:00:07.654 - accX: 38, accY: -49, accZ: 2
13:00:07.682 - accX: 36, accY: -39, accZ: 5
13:00:07.716 - accX: 67, accY: 45, accZ: 21
13:00:07.734 - accX: 51, accY: 35, accZ: 4
13:00:07.748 - accX: 67, accY: 32, accZ: -1
13:00:07.762 - accX: 80, accY: -5, accZ: -11
13:00:07.776 - accX: 58, accY: -44, accZ: 6
13:00:07.792 - accX: 40, accY: -38, accZ: 16
13:00:07.817 - accX: 49, accY: -33, accZ: 11
13:00:07.831 - accX: 66, accY: -8, accZ: 13
13:00:07.846 - accX: 68, accY: 5, accZ: 15
13:00:07.857 - accX: 69, accY: 5, accZ: 12
13:00:07.882 - accX: 64, accY: -7, accZ: 12
13:00:07.900 - accX: 62, accY: -8, accZ: 13
13:00:07.913 - accX: 63, accY: -9, accZ: 10
13:00:07.925 - accX: 62, accY: -13, accZ: 7
