23:01:32.166 - accX: -8, accY: 1, accZ: 60
23:01:32.195 - accX: -7, accY: 1, accZ: 60
23:01:32.214 - accX: -8, accY: 1, accZ: 60
23:01:32.228 - accX: -8, accY: 1, accZ: 60
23:01:32.248 - accX: -8, accY: 0, accZ: 60
23:01:32.268 - accX: -7, accY: 0, accZ: 60
23:01:32.284 - accX: -7, accY: 1, accZ: 60
23:01:32.301 - accX: -8, accY: 1, accZ: 60
23:01:32.316 - accX: -7, accY: 1, accZ: 60
23:01:32.346 - accX: -7, accY: 2, accZ: 60
23:01:32.367 - accX: -8, accY: 2, accZ: 60
23:01:32.383 - accX: -8, accY: 1, accZ: 60
23:01:32.398 - accX: -8, accY: 1, accZ: 60
23:01:32.412 - accX: -8, accY: 1, accZ: 60
23:01:32.430 - accX: -7, accY: 1, accZ: 61
23:01:32.448 - accX: -7, accY: 2, accZ: 60
23:01:32.472 - accX: -7, accY: 2, accZ: 60
23:01:32.488 - accX: -7, accY: 1, accZ: 60
23:01:32.502 - accX: -8, accY: 1, accZ: 60
23:01:32.517 - accX: -8, accY: 1, accZ: 60
23:01:32.527 - accX: -8, accY: 1, accZ: 61
23:01:32.549 - accX: -7, accY: 1, accZ: 59
23:01:32.568 - accX: -7, accY: 1, accZ: 60
23:01:32.582 - accX: -7, accY: 1, accZ: 60
23:01:32.592 - accX: -7, accY: 1, accZ: 60
23:01:32.613 - accX: -8, accY: 1, accZ: 61
23:01:32.628 - accX: -7, accY: 1, accZ: 60
23:01:32.639 - accX: -7, accY: 1, accZ: 59
23:01:32.662 - accX: -6, accY: 1, accZ: 60
23:01:32.677 - accX: -8, accY: 2, accZ: 60
23:01:32.688 - accX: -8, accY: 1, accZ: 60
23:01:32.701 - accX: -7, accY: 1, accZ: 60
23:01:32.723 - accX: -8, accY: 1, accZ: 60
23:01:32.738 - accX: -7, accY: 2, accZ: 60
23:01:32.753 - accX: -7, accY: 1, accZ: 60
23:01:32.772 - accX: -8, accY: 2, accZ: 60
23:01:32.789 - accX: -7, accY: 1, accZ: 60
23:01:32.802 - accX: -8, accY: 1, accZ: 60
23:01:32.815 - accX: -8, accY: 2, accZ: 60
23:01:32.835 - accX: -8, accY: 1, accZ: 59
23:01:32.850 - accX: -8, accY: 1, accZ: 60
23:01:32.863 - accX: -8, accY: 0, accZ: 60
23:01:32.883 - accX: -7, accY: 1, accZ: 60
23:01:32.896 - accX: -7, accY: 1, accZ: 60
23:01:32.918 - accX: -8, accY: 2, accZ: 60
23:01:32.933 - accX: -7, accY: 1, accZ: 59
23:01:32.947 - accX: -7, accY: 1, accZ: 60
23:01:32.964 - accX: -7, accY: 1, accZ: 60
23:01:32.973 - accX: -8, accY: 2, accZ: 61
23:01:32.987 - accX: -7, accY: 1, accZ: 60
23:01:33.011 - accX: -7, accY: 2, accZ: 59
23:01:33.026 - accX: -8, accY: 2, accZ: 60
23:01:33.045 - accX: -8, accY: 0, accZ: 60
23:01:33.064 - accX: -7, accY: 1, accZ: 60
23:01:33.097 - accX: -7, accY: 1, accZ: 60
23:01:33.116 - accX: -8, accY: 1, accZ: 60
23:01:33.130 - accX: -7, accY: 1, accZ: 59
23:01:33.151 - accX: -8, accY: 2, accZ: 60
23:01:33.166 - accX: -7, accY: 1, accZ: 60
23:01:33.178 - accX: -7, accY: 1, accZ: 60
23:01:33.196 - accX: -8, accY: 2, accZ: 60
23:01:33.210 - accX: -8, accY: 1, accZ: 60
23:01:33.232 - accX: -8, accY: 1, accZ: 59
23:01:33.248 - accX: -8, accY: 2, accZ: 60
23:01:33.261 - accX: -8, accY: 1, accZ: 60
23:01:33.287 - accX: -7, accY: 1, accZ: 59
23:01:33.325 - accX: -7, accY: 1, accZ: 60
23:01:33.360 - accX: -8, accY: 1, accZ: 60
23:01:33.387 - accX: -7, accY: 2, accZ: 60
23:01:33.400 - accX: -7, accY: 1, accZ: 60
23:01:33.414 - accX: -8, accY: 1, accZ: 60
23:01:33.433 - accX: -7, accY: 1, accZ: 61
23:01:33.449 - accX: -8, accY: 2, accZ: 60
23:01:33.480 - accX: -7, accY: 1, accZ: 60
23:01:33.512 - accX: -8, accY: 2, accZ: 60
23:01:33.547 - accX: -7, accY: 2, accZ: 60
23:01:33.572 - accX: -8, accY: 1, accZ: 60
23:01:33.584 - accX: -8, accY: 2, accZ: 60
23:01:33.595 - accX: -8, accY: 1, accZ: 60
23:01:33.605 - accX: -8, accY: 1, accZ: 60
23:01:33.622 - accX: -8, accY: 1, accZ: 59
23:01:33.662 - accX: -8, accY: 1, accZ: 59
23:01:33.686 - accX: -7, accY: 1, accZ: 59
23:01:33.716 - accX: -7, accY: 1, accZ: 60
23:01:33.744 - accX: -8, accY: 2, accZ: 61
23:01:33.779 - accX: -7, accY: 2, accZ: 60
23:01:33.806 - accX: -8, accY: 2, accZ: 60
23:01:33.816 - accX: -8, accY: 2, accZ: 60
23:01:33.828 - accX: -7, accY: 2, accZ: 60
