14:32:30.904 - accX: 17, accY: -10, accZ: -78
14:32:30.938 - accX: -9, accY: -38, accZ: -46
14:32:30.955 - accX: -8, accY: -37, accZ: -46
14:32:30.980 - accX: 112, accY: -127, accZ: -39
14:32:31.002 - accX: 31, accY: 2, accZ: -3
14:32:31.020 - accX: 1, accY: -8, accZ: -27
14:32:31.035 - accX: -8, accY: -75, accZ: -66
14:32:31.049 - accX: -86, accY: -101, accZ: -67
14:32:31.064 - accX: -30, accY: -37, accZ: -24
14:32:31.078 - accX: -45, accY: -53, accZ: -27
14:32:31.093 - accX: -33, accY: -33, accZ: -21
14:32:31.118 - accX: -46, accY: -12, accZ: -34
14:32:31.136 - accX: 0, accY: -1, accZ: -5
14:32:31.152 - accX: 52, accY: -12, accZ: -111
14:32:31.168 - accX: 28, accY: -95, accZ: -127
14:32:31.182 - accX: 58, accY: -35, accZ: 0
14:32:31.198 - accX: 0, accY: 6, accZ: -6
14:32:31.216 - accX: -128, accY: -121, accZ: -52
14:32:31.231 - accX: -56, accY: -32, accZ: -54
14:32:31.248 - accX: -54, accY: -1, accZ: -40
14:32:31.264 - accX: -82, accY: 19, accZ: -80
14:32:31.281 - accX: -24, accY: -21, accZ: -37
14:32:31.297 - accX: -71, accY: -37, accZ: -59
14:32:31.311 - accX: -53, accY: -43, accZ: -34
14:32:31.325 - accX: -57, accY: -46, accZ: 18
14:32:31.341 - accX: 44, accY: -75, accZ: 49
14:32:31.356 - accX: 41, accY: -51, accZ: -51
14:32:31.370 - accX: 20, accY: -54, accZ: -79
14:32:31.394 - accX: -14, accY: -61, accZ: -28
14:32:31.408 - accX: -7, accY: -69, accZ: -24
14:32:31.423 - accX: 2, accY: -54, accZ: -6
14:32:31.439 - accX: 9, accY: -48, accZ: 2
14:32:31.453 - accX: -6, accY: -51, accZ: -1
14:32:31.470 - accX: -11, accY: -53, accZ: -12
14:32:31.496 - accX: -13, accY: -50, accZ: -12
14:32:31.517 - accX: -11, accY: -48, accZ: -13
14:32:31.537 - accX: -8, accY: -46, accZ: -15
14:32:31.553 - accX: -10, accY: -47, accZ: -13
14:32:31.566 - accX: -14, accY: -47, accZ: -12
14:32:31.590 - accX: -16, accY: -46, accZ: -12
14:32:31.607 - accX: -17, accY: -46, accZ: -13
14:32:31.619 - accX: -19, accY: -48, accZ: -13
14:32:31.632 - accX: -18, accY: -49, accZ: -14
14:32:31.647 - accX: -16, accY: -50, accZ: -10
14:32:31.661 - accX: -16, accY: -54, accZ: -9
14:32:31.686 - accX: -22, accY: -58, accZ: -8
14:32:31.701 - accX: -26, accY: -59, accZ: -7
14:32:31.715 - accX: -29, accY: -62, accZ: -8
14:32:31.731 - accX: -30, accY: -64, accZ: -6
14:32:31.746 - accX: -28, accY: -64, accZ: -3
14:32:31.759 - accX: -33, accY: -68, accZ: -4
14:32:31.772 - accX: -30, accY: -67, accZ: -2
14:32:31.794 - accX: -25, accY: -64, accZ: -5
14:32:31.812 - accX: -19, accY: -63, accZ: -8
14:32:31.826 - accX: -15, accY: -60, accZ: -8
14:32:31.839 - accX: -12, accY: -58, accZ: -10
14:32:31.854 - accX: -12, accY: -54, accZ: -11
14:32:31.867 - accX: -14, accY: -53, accZ: -12
14:32:31.891 - accX: -15, accY: -54, accZ: -12
14:32:31.908 - accX: -15, accY: -54, accZ: -13
14:32:31.920 - accX: -15, accY: -54, accZ: -13
14:32:31.930 - accX: -17, accY: -56, accZ: -14
14:32:31.953 - accX: -24, accY: -56, accZ: -14
14:32:31.969 - accX: -30, accY: -56, accZ: -17
14:32:31.982 - accX: -31, accY: -55, accZ: -18
14:32:31.996 - accX: -28, accY: -56, accZ: -18
14:32:32.010 - accX: -29, accY: -58, accZ: -18
14:32:32.025 - accX: -32, accY: -60, accZ: -17
14:32:32.041 - accX: -32, accY: -59, accZ: -16
14:32:32.066 - accX: -32, accY: -59, accZ: -17
14:32:32.091 - accX: -27, accY: -55, accZ: -16
14:32:32.110 - accX: -27, accY: -54, accZ: -17
14:32:32.125 - accX: -27, accY: -52, accZ: -19
14:32:32.139 - accX: -28, accY: -51, accZ: -19
14:32:32.152 - accX: -27, accY: -50, accZ: -18
14:32:32.168 - accX: -28, accY: -49, accZ: -19
14:32:32.193 - accX: -28, accY: -48, accZ: -18
14:32:32.214 - accX: -30, accY: -47, accZ: -18
14:32:32.229 - accX: -31, accY: -48, accZ: -19
14:32:32.245 - accX: -33, accY: -51, accZ: -18
14:32:32.272 - accX: -32, accY: -53, accZ: -16
14:32:32.289 - accX: -31, accY: -53, accZ: -15
14:32:32.302 - accX: -29, accY: -55, accZ: -14
14:32:32.316 - accX: -30, accY: -55, accZ: -16
14:32:32.331 - accX: -32, accY: -55, accZ: -15
14:32:32.346 - accX: -32, accY: -55, accZ: -15
14:32:32.358 - accX: -33, accY: -55, accZ: -16
14:32:32.382 - accX: -30, accY: -52, accZ: -16
14:32:32.398 - accX: -31, accY: -49, accZ: -17
14:32:32.413 - accX: -32, accY: -49, accZ: -18
14:32:32.426 - accX: -33, accY: -49, accZ: -16
14:32:32.440 - accX: -31, accY: -50, accZ: -17
14:32:32.467 - accX: -35, accY: -50, accZ: -16
14:32:32.490 - accX: -33, accY: -50, accZ: -18
14:32:32.517 - accX: -34, accY: -51, accZ: -18
